,0
0,7.1386024999999975
1,7.4345425
2,7.393364999999999
3,7.599714999999996
4,7.5558025
5,7.352630000000003
6,7.2577675
7,7.500665000000001
8,7.146774999999999
9,7.3168349999999975
10,7.311972499999998
11,7.080582499999998
12,7.092674999999997
13,7.2422825
14,7.3628899999999975
15,7.337692499999999
16,7.471587500000001
17,6.668009999999999
18,6.6559975
19,8.230745000000002
20,6.548112499999997
21,7.180442499999999
22,6.661355
23,6.840852499999999
24,6.07354
25,6.204035
26,7.0993925
27,6.717017499999998
28,6.251055000000001
29,5.8948725
30,5.036715
31,5.031969999999999
32,5.043567499999998
33,4.9249874999999985
34,4.957684999999999
35,7.059945
36,7.025235000000001
37,6.687782500000001
38,7.214527499999999
39,7.171989999999999
40,7.223864999999997
41,7.186589999999998
42,7.193714999999998
43,7.195667499999998
44,7.223864999999997
45,6.964109999999999
46,6.969672499999998
47,7.000639999999997
48,6.692402499999998
49,7.933987500000001
